# Lindhard-Scharff electronic stopping table for Pb (Z=82, M=207.2) in diamond.
# Generated by potentials/generate_stopping.py — see docstring for caveats.
# Columns: E(eV)  dE/dx_C(eV/A)  dE/dx_ion(eV/A)
1.000000e+00  1.762415e-01  1.457139e-01
1.068164e+00  1.821492e-01  1.505983e-01
1.140975e+00  1.882549e-01  1.556464e-01
1.218749e+00  1.945653e-01  1.608637e-01
1.301824e+00  2.010871e-01  1.662559e-01
1.390562e+00  2.078277e-01  1.718288e-01
1.485348e+00  2.147941e-01  1.775886e-01
1.586596e+00  2.219941e-01  1.835414e-01
1.694745e+00  2.294354e-01  1.896938e-01
1.810266e+00  2.371261e-01  1.960524e-01
1.933661e+00  2.450747e-01  2.026241e-01
2.065468e+00  2.532897e-01  2.094161e-01
2.206259e+00  2.617800e-01  2.164358e-01
2.356647e+00  2.705550e-01  2.236908e-01
2.517286e+00  2.796240e-01  2.311890e-01
2.688875e+00  2.889971e-01  2.389386e-01
2.872160e+00  2.986844e-01  2.469479e-01
3.067939e+00  3.086964e-01  2.552256e-01
3.277062e+00  3.190440e-01  2.637809e-01
3.500441e+00  3.297385e-01  2.726229e-01
3.739046e+00  3.407914e-01  2.817613e-01
3.993915e+00  3.522148e-01  2.912060e-01
4.266158e+00  3.640212e-01  3.009674e-01
4.556957e+00  3.762233e-01  3.110559e-01
4.867579e+00  3.888344e-01  3.214826e-01
5.199373e+00  4.018683e-01  3.322588e-01
5.553785e+00  4.153390e-01  3.433962e-01
5.932354e+00  4.292613e-01  3.549069e-01
6.336729e+00  4.436503e-01  3.668035e-01
6.768667e+00  4.585216e-01  3.790989e-01
7.230048e+00  4.738914e-01  3.918064e-01
7.722879e+00  4.897764e-01  4.049399e-01
8.249304e+00  5.061939e-01  4.185136e-01
8.811611e+00  5.231616e-01  4.325423e-01
9.412248e+00  5.406982e-01  4.470413e-01
1.005383e+01  5.588226e-01  4.620263e-01
1.073914e+01  5.775545e-01  4.775135e-01
1.147116e+01  5.969143e-01  4.935199e-01
1.225309e+01  6.169231e-01  5.100629e-01
1.308831e+01  6.376025e-01  5.271603e-01
1.398046e+01  6.589751e-01  5.448309e-01
1.493343e+01  6.810642e-01  5.630938e-01
1.595136e+01  7.038937e-01  5.819689e-01
1.703867e+01  7.274884e-01  6.014767e-01
1.820010e+01  7.518741e-01  6.216384e-01
1.944070e+01  7.770771e-01  6.424759e-01
2.076586e+01  8.031250e-01  6.640119e-01
2.218135e+01  8.300460e-01  6.862698e-01
2.369332e+01  8.578694e-01  7.092738e-01
2.530836e+01  8.866255e-01  7.330489e-01
2.703348e+01  9.163455e-01  7.576209e-01
2.887620e+01  9.470617e-01  7.830166e-01
3.084453e+01  9.788075e-01  8.092636e-01
3.294702e+01  1.011617e+00  8.363904e-01
3.519283e+01  1.045527e+00  8.644264e-01
3.759172e+01  1.080574e+00  8.934023e-01
4.015413e+01  1.116795e+00  9.233494e-01
4.289121e+01  1.154230e+00  9.543004e-01
4.581486e+01  1.192920e+00  9.862888e-01
4.893779e+01  1.232907e+00  1.019350e+00
5.227360e+01  1.274235e+00  1.053518e+00
5.583679e+01  1.316947e+00  1.088833e+00
5.964286e+01  1.361092e+00  1.125331e+00
6.370838e+01  1.406716e+00  1.163052e+00
6.805101e+01  1.453870e+00  1.202038e+00
7.268966e+01  1.502604e+00  1.242331e+00
7.764449e+01  1.552972e+00  1.283974e+00
8.293707e+01  1.605028e+00  1.327013e+00
8.859041e+01  1.658829e+00  1.371495e+00
9.462911e+01  1.714433e+00  1.417468e+00
1.010794e+02  1.771902e+00  1.464982e+00
1.079694e+02  1.831296e+00  1.514089e+00
1.153291e+02  1.892682e+00  1.564842e+00
1.231904e+02  1.956125e+00  1.617296e+00
1.315876e+02  2.021695e+00  1.671508e+00
1.405572e+02  2.089463e+00  1.727537e+00
1.501381e+02  2.159503e+00  1.785445e+00
1.603722e+02  2.231890e+00  1.845294e+00
1.713039e+02  2.306704e+00  1.907149e+00
1.829807e+02  2.384025e+00  1.971077e+00
1.954534e+02  2.463938e+00  2.037148e+00
2.087763e+02  2.546530e+00  2.105434e+00
2.230074e+02  2.631891e+00  2.176009e+00
2.382085e+02  2.720113e+00  2.248949e+00
2.544459e+02  2.811292e+00  2.324335e+00
2.717900e+02  2.905527e+00  2.402247e+00
2.903163e+02  3.002921e+00  2.482771e+00
3.101055e+02  3.103580e+00  2.565994e+00
3.312436e+02  3.207613e+00  2.652007e+00
3.538226e+02  3.315134e+00  2.740903e+00
3.779407e+02  3.426258e+00  2.832779e+00
4.037027e+02  3.541107e+00  2.927735e+00
4.312208e+02  3.659806e+00  3.025874e+00
4.606146e+02  3.782484e+00  3.127302e+00
4.920121e+02  3.909274e+00  3.232130e+00
5.255497e+02  4.040314e+00  3.340472e+00
5.613734e+02  4.175747e+00  3.452446e+00
5.996390e+02  4.315719e+00  3.568173e+00
6.405130e+02  4.460384e+00  3.687779e+00
6.841731e+02  4.609897e+00  3.811395e+00
